Era,Name,Notes,Length,Release Date,On Streaming?,Link(s),Type
ZUU,"SHAKE 88
(feat. Sam Sneak) (prod. FNZ)","Track 10 off of Denzel Curry's 4th album ""ZUU"". Samples ""Stick Dat Thang Out"" by Lil Jon & The East Side Boyz.",,"May 31, 2019",On Streaming ,https://open.spotify.com/track/27F7BWz4WuC8GuSIcFbx1a?si=c28e7d493f204c2d,Album Track
ZUU,BLACKLAND 66.6,"Track 11 off of Denzel Curry's 4th album ""ZUU"". Second skit on the album. Samples ""FVCK TVYLXR GVNG"" by SpaceGhostPurrp.",,"May 31, 2019",On Streaming ,https://open.spotify.com/track/0L1RASB4kWt9VDqJxX4yBF?si=a078ba03e15345b0,Album Track
ZUU,"P.A.T
(feat. PlayThatBoiZay) (prod. RONNY J & FNZ)","Track 12 off of Denzel Curry's 4th album ""ZUU"". Samples ""Possessed"" by Spaceghostpurrp.",,"May 31, 2019",On Streaming ,https://open.spotify.com/track/5WtMpQgVIeZq06bXbYJO01?si=fafef0ebfd6d4098,Album Track
,Spotify Singles ,,,,,,
ZUU,"CLOUT COBAIN (Recorded at Spotify Studios NYC)
(feat. Fucked Up)
(CLOUT CO13A1N)","Metal version for Spotify Singles. Features band ""Fucked Up""",,"July 31, 2019",Spotify Exclusive,https://open.spotify.com/track/0ZRL1iB01ZOy9O3YjuxjL9?si=70a364699774469b,Single
,,,,,,,
ZUU,"I Against I (Recorded at Spotify Studios NYC)
(feat. Bad Brains)",Cover of Bad Brains' I Against I alongside Bad Brains. Made for Spotify Singles.,,"July 31, 2019",Spotify Exclusive,https://open.spotify.com/track/4VgtRoEKV5At6Ye31ZSzsW?si=ecfc913f272b4ebf,Single
,,,,,,,
,Singles/Loose Songs ,,,,,,
ZUU,Bulls On Parade (triple J Like A Version),"Cover of Rage Against the Machine's ""Bulls on Parade"" for triple J Like A Version.",,"Mar 15, 2019",On Streaming ,https://open.spotify.com/track/6FCfj69zzQHnrx4fTukhfo?si=1bddd8a0dc574982,Single
ZUU,"🌟 Sunday Service (Vandalized Edit)
(with Jarreau Vandal)","Beat made by Jarreau Vandal recreating a sample chop of the song ""This Is the Day"" which was accompanied with the Sunday Service Choir's vocals that Kanye had done at Sunday Service. When previewing it Denzel asked to hop on the beat. The reason for it not being on streaming is probably because of sample clearance issues.",,"Mar 25, 2019",Off Streaming,https://on.soundcloud.com/kwKkqgGUve6yN9FJ7,Single
ZUU,"Shawshank
(feat. Tate Kobang)",Song released right after ZUU for Madden.,,"Jul 24, 2019",On Streaming ,https://open.spotify.com/track/3LfJqKVZjV32xmnJC2kNUC?si=dYSePVEbSF6osY4d7YikDQ,Single
ZUU,"SPEEDBOAT [J Rick Remix]
(feat. SL & J Rick)","Official remix of ""SPEEDBOAT"" featuring J Rick.",,"Dec 6, 2019",On Streaming ,https://open.spotify.com/track/6lYbNcrt6pxYykURRUsUyF,Single
,Features,,,,,,
ZUU,"Anonymuz - No Threat
(feat. Denzel Curry)",,,"Mar 25, 2019",On Streaming ,https://open.spotify.com/track/6poLcwNytrL6c0jJv3T0ng,Feature
ZUU,"City Morgue & ZillaKami - DRAINO
(feat. Denzel Curry)",,,"Dec 13, 2019",On Streaming ,https://open.spotify.com/track/5hOnCHMwQdXOd4qfAWEhKP,Feature
ZUU,"DJ E-Feezy - Everywhere I Go
(feat. Denzel Curry, Yung Simmie & 808 Mafia)",,,"Apr 19, 2019",On Streaming ,https://open.spotify.com/track/1Yfk9bCyRIESf8rb53xlDU,Feature
ZUU,"DJ Khalil - Elevate
(feat. Denzel Curry, Cordae, SwaVay & Trevor Rich)",,,"Dec 14, 2018",On Streaming ,https://open.spotify.com/track/6kiauSlWtddVQx4JwJx51p,Feature
ZUU,"Flying Lotus - Black Balloons Reprise
(with Denzel Curry)",The 3rd track in the Black Balloons trilogy. Remix of the song with a Mac Miller verse later released for GTA V.,,"May 24, 2019",On Streaming ,https://open.spotify.com/track/2csZLnXBMuw6ETZuRxdUZF,Feature
"UNLOCKED
(Collaboration with Kenny Beats)",,,,,,,
,UNLOCKED,,,,,,
UNLOCKED,"Track01
(with Kenny Beats)","Track 1 from the Denzel Curry & Kenny Beats collab EP, UNLOCKED. Samples the ""Adolescents"" scene from the movie ""Age Of Turmoil"".",,"Feb 7, 2020",On Streaming ,https://open.spotify.com/track/1ffOhN2G280aSIokZMoFPa?si=6d3a052ba0ad4b5a,EP Track
UNLOCKED,"Take_it_Back_v2
(with Kenny Beats)
(Take it Back)","Track 2 from the Denzel Curry & Kenny Beats collab EP, UNLOCKED. Samples the ""Shake hands with danger"" scene from the movie ""Shake Hands With Danger"".",,"Feb 7, 2020",On Streaming ,https://open.spotify.com/track/6M1QxOSjcCBCNnS7GSjd1o?si=d97d15a8ff1e420a,EP Track
UNLOCKED,"Lay_Up.m4a
(with Kenny Beats)
(Lay Up)","Track 3 from the Denzel Curry & Kenny Beats collab EP, UNLOCKED.",,"Feb 7, 2020",On Streaming ,https://open.spotify.com/track/1HqoCOBHlnI9Snfk36jiTZ?si=d6e59450c09b4d54,EP Track
UNLOCKED,"Pyro (leak 2019)
(with Kenny Beats)
(Pyro)","Track 4 from the Denzel Curry & Kenny Beats collab EP, UNLOCKED. Samples ""Hood Politics"" by Kendrick Lamar.",,"Feb 7, 2020",On Streaming ,https://open.spotify.com/track/4hgS8ANdhHy2G7XtyVqLDw?si=2c88b57b17e749d9,EP Track
UNLOCKED,"DIET_
(with Kenny Beats)
(DIET)","Track 5 from the Denzel Curry & Kenny Beats collab EP, UNLOCKED.",,"Feb 7, 2020",On Streaming ,https://open.spotify.com/track/1AzqpMy3yLYNITSOUrnL8i?si=33eb72941a7c48cf,EP Track
UNLOCKED,"So.Incredible.pkg
(with Kenny Beats)
(So Incredible)","Track 6 from the Denzel Curry & Kenny Beats collab EP, UNLOCKED. Samples ""Bad Boy For Life"" by P. Diddy, Black Rob & Mark Curry.",,"Feb 7, 2020",On Streaming ,https://open.spotify.com/track/10qp2g1jvHn79HiDUsaAb1?si=e0ee4bae4f454227,EP Track
UNLOCKED,"Track07
(with Kenny Beats)","Track 7 from the Denzel Curry & Kenny Beats collab EP, UNLOCKED. Samples "" Everything Is Alright Now"" by Chuck Bernard and ""So.Incredible.pkg"" by Denzel Curry & Kenny Beats.",,"Feb 7, 2020",On Streaming ,https://open.spotify.com/track/17Xxp5dtS4GmdGjNZNb5Gk?si=57babcac8d2c4098,EP Track
UNLOCKED,"Cosmic '.m4a
(with Kenny Beats)
(Cosmic, 'Cosmic'.4a)","Track 8 from the Denzel Curry & Kenny Beats collab EP, UNLOCKED. Samples the movie ""The Killer Shrews"".",,"Feb 7, 2020",On Streaming ,https://open.spotify.com/track/6Bxy3KpK4ygO2X9QAiOQ3W?si=949bd2895b514161,EP Track
,UNLOCKED 1.5.,,,,,,
UNLOCKED,"So.Incredible.pkg [Robert Glasper Version]
(with Kenny Beats) (feat. Robert Glasper & Smino)
(So Incredible)","Track 1 from the UNLOCKED remix EP, UNLOCKED 1.5. Samples ""The Hall of Mirrors"" by Kraftwerk.",,"Mar 5, 2021",On Streaming ,https://open.spotify.com/track/3vCVpJcZQ7zssjPbzMXaVs?si=77921d2aecd64614,EP Track
UNLOCKED,"Track07 [Georgia Anne Muldrow Version]
(with Kenny Beats) (feat. Georgia Anne Muldrow & Arlo Parks)","Track 2 from the UNLOCKED remix EP, UNLOCKED 1.5.",,"Mar 5, 2021",On Streaming ,https://open.spotify.com/track/2q2NwZC57Z1aybnbpCFqb3?si=af4f8a9b43ac4ce7,EP Track
UNLOCKED,"'Cosmic'.4a [The Alchemist Version]
(with Kenny Beats) (feat. The Alchemist & Joey Bada$$)
(Cosmic, 'Cosmic'.m4a)","Track 3 from the UNLOCKED remix EP, UNLOCKED 1.5. Samples ""Manege De Lune"" by Guy Pedersen.",,"Mar 5, 2021",On Streaming ,https://open.spotify.com/track/6wuBfKSD06dnK0bklz2aac?si=af1fc58a2dc043b6,EP Track
UNLOCKED,"Take_it_Back_v2 - Charlie Heat Version
(with Kenny Beats) (feat. Charlie Heat)
(Take it Back)","Track 4 from the UNLOCKED remix EP, UNLOCKED 1.5.",,"Mar 5, 2021",On Streaming ,https://open.spotify.com/track/0qcj9uw6aPcBgB2qnvebPe?si=97241c4ed12d4dea,EP Track
UNLOCKED,"Pyro [Sango Leak]
(with Kenny Beats) (feat. Sango & Kenny Mason)
(Pyro, Pyro (leak 2019))","Track 5 from the UNLOCKED remix EP, UNLOCKED 1.5.",,"Mar 5, 2021",On Streaming ,https://open.spotify.com/track/7Mch6uwExaCRr5HRtszEkI?si=4144c7d868f24448,EP Track
UNLOCKED,"Lay_Up.m4a - Jay Versace Version
(with Kenny Beats) (feat. Jay Versace)
(Lay Up)","Track 6 from the UNLOCKED remix EP, UNLOCKED 1.5.",,"Mar 5, 2021",On Streaming ,https://open.spotify.com/track/12LA0nY8n0aO2KMAQqYNTn?si=014c54fed9a74086,EP Track
UNLOCKED,"DIET_1.5
(with Kenny Beats) (feat. Benny the Butcher)
(DIET)","Track 7 from the UNLOCKED remix EP, UNLOCKED 1.5.",,"Mar 5, 2021",On Streaming ,https://open.spotify.com/track/55wOuoBnNDYbtKMjagrdEX?si=e0a50b0ec99c4099,EP Track
UNLOCKED,"Take_it_Back_v2 - GODMODE Version
(with Kenny Beats) (feat. godmode)
(Take it Back)","Track 8 from the UNLOCKED remix EP, UNLOCKED 1.5. Samples ""Amen, Brother"" by The Winstons.",,"Mar 5, 2021",On Streaming ,https://open.spotify.com/track/54JdiP7p0C1RfGQlne8yrE?si=ebb5ed5a8bb1449f,EP Track
,UNLOCKED (Instrumentals),,,,,,
UNLOCKED,"Track01 - Instrumental
(with Kenny Beats)",Track 1 off of UNLOCKED (Instrumentals).,,"May 1, 2020",On Streaming ,https://open.spotify.com/track/3UNJtmeXmACN5yELa1VHdO,EP Track
UNLOCKED,"Take_it_Back_v2 - Instrumental
(with Kenny Beats)
(Take it Back)",Track 2 off of UNLOCKED (Instrumentals).,,"May 1, 2020",On Streaming ,https://open.spotify.com/track/5SPsHB8l2EgOMX5wzc6hye,EP Track
UNLOCKED,"Lay_Up.m4a - Instrumental
(with Kenny Beats)
(Lay Up)",Track 3 off of UNLOCKED (Instrumentals).,,"May 1, 2020",On Streaming ,https://open.spotify.com/track/3e2mXJQgCYL3DXvPwT6E2I,EP Track
UNLOCKED,"Pyro (leak 2019) - Instrumental
(with Kenny Beats)
(Pyro)",Track 4 off of UNLOCKED (Instrumentals).,,"May 1, 2020",On Streaming ,https://open.spotify.com/track/38lfCpblT6xfpfAeHyDsaZ,EP Track
UNLOCKED,"DIET_ - Instrumental
(with Kenny Beats)
(DIET)",Track 5 off of UNLOCKED (Instrumentals).,,"May 1, 2020",On Streaming ,https://open.spotify.com/track/5Z6IVRGu1imYF0QuhXAR1V,EP Track
UNLOCKED,"So.Incredible.pkg - Instrumental
(with Kenny Beats)
(So Incredible)",Track 6 off of UNLOCKED (Instrumentals).,,"May 1, 2020",On Streaming ,https://open.spotify.com/track/1sUErIua1LHqo88yv0EGLx,EP Track
UNLOCKED,"Track07 - Instrumental
(with Kenny Beats)",Track 7 off of UNLOCKED (Instrumentals).,,"May 1, 2020",On Streaming ,https://open.spotify.com/track/4m9bjZmC7wYDLDCKizrm2F,EP Track
UNLOCKED,"' Cosmic '.m4a - Instrumental
(with Kenny Beats)
(Cosmic, 'Cosmic'.4a)",Track 8 off of UNLOCKED (Instrumentals).,,"May 1, 2020",On Streaming ,https://open.spotify.com/track/0nayShWsN1UdW96RKIGtmr,EP Track
,Singles/Loose Songs ,,,,,,
UNLOCKED,DIET_ - A COLORS SHOW,Performance Denzel did of DIET_ without Kenny for A COLORS SHOW.,,"Mar 5, 2020",On Streaming ,https://open.spotify.com/track/6D28yhED55hMb8jzhRviVp?si=a3df2acd007a4123,Single
UNLOCKED,"whatIFiwasinarockgroup?
(prod. FNZ)",Concept made by Denzel Curry in 2020. YouTube title says it's incomplete.,,"Oct 10, 2019",Off Streaming,https://youtu.be/8suwUcc76GE?si=XyiUjmmNTb6yKsZz,Single
,Features,,,,,,
UNLOCKED,"Higher Brothers - One Punch Man
(feat. Denzel Curry & Ski Mask the Slump God)",,,"Feb 22, 2019",On Streaming ,https://open.spotify.com/track/5XHcYoIcFY7GgV6OHUB00Q,Feature
UNLOCKED,"Rick Ross - Running the Streets
(feat. Denzel Curry & A Boogie Wit da Hoodie)",,,"Aug 15, 2019",On Streaming ,https://open.spotify.com/track/3s9f1LQ6607eDj9UYCzmgk,Feature
UNLOCKED,"Powers Pleasant - Please Forgive
(feat. Denzel Curry, IDK, Zombie Juice & ZillaKami)",,,"Sep 10, 2019",On Streaming ,https://open.spotify.com/track/51hMmu1j7pQzlljrnIVlkb?si=db3a9f1f083c435d,Feature
UNLOCKED,"Charlie Heat - ALOHA
(with Denzel Curry)",,,"Sep 19, 2019",On Streaming ,https://open.spotify.com/track/2llgOorPtGZStprLURFVvx,Feature
UNLOCKED,"LoRd Lu C N - Blueblood
(feat. Denzel Curry)",,,"Sep 30, 2019",On Streaming,https://open.spotify.com/track/7vEAtbGKe2KwpoqmcdpPKL?si=nch3x4UjRJuHb1GFghaMpg&context=spotify%3Asearch%3Ablueblood%2B,Feature
UNLOCKED,"Steven A. Clark - Did I Hurt U
(feat. Denzel Curry)",,,"Sep 7, 2019",On Streaming ,https://open.spotify.com/track/1eFRkthzdst3z5lEXhezTn,Feature
UNLOCKED,"slowthai - Psycho
(feat. Denzel Curry)",,,"Sep 10, 2019",On Streaming ,https://open.spotify.com/track/0GSCAqCsmp7OVUWwC6sSgT,Feature
UNLOCKED,"Robert Glasper - This Changes Everything
(feat. Denzel Curry, Buddy, Terrace Martin & James Poyser)",,,"Oct 3, 2019",On Streaming ,https://open.spotify.com/track/5FcCKNBPFXsrxbhVlSXmRa,Feature
UNLOCKED,"Lord Lu C N - Super Drunk Freestyle
(with Denzel Curry)",,,"Oct 17, 2019",On Streaming ,https://open.spotify.com/track/7wyu3YglUCljZaMWiVbySy,Feature
UNLOCKED,"Anna Wise - Count My Blessings
(feat. Denzel Curry)",,,"Oct 18, 2019",On Streaming ,https://open.spotify.com/track/0GEEPePzBTplRekjTt04N0,Feature
UNLOCKED,"PlayThatBoiZay - POISON KLAN
(feat. Denzel Curry & Anonymuz)",,,"Oct 31, 2019",On Streaming ,https://open.spotify.com/track/370hgYgxIWDM86yV0uWPOs?si=a683db0e27414eb0,Feature
UNLOCKED,"The Neighborhood - Kill Us All
(feat. Denzel Curry)",,,"Nov 2, 2019",On Streaming ,https://open.spotify.com/track/2DBxhQbwnuXDioUVdL33S2,Feature
UNLOCKED,"Wiki - Grim
(feat. Denzel Curry & Lil Ugly Mane)",,,"Nov 8, 2019",On Streaming ,https://open.spotify.com/track/6pupcurqRceRKr1IjdM5nS,Feature
UNLOCKED,"IDK - ONCE UPON A TIME (FREESTYLE)
(feat. Denzel Curry)",,,"Nov 9, 2019",On Streaming ,https://open.spotify.com/track/7hZoTr4ffMGqm9opMiGmBp,Feature
UNLOCKED,"PlayThatBoiZay - POISON KLAN [INFECTED VERSION]
(feat. Denzel Curry & Anonymuz)","Slowed down or ""infected"" version of POISON KLAN by PlayThatBoiZay.",,"Nov 14, 2019",On Streaming ,https://open.spotify.com/track/20dC7Peuh34lpiORgXIipN,Feature
UNLOCKED,"J.K. The Reaper - Moon
(feat. Denzel Curry)",,,"Nov 16, 2019",On Streaming ,https://open.spotify.com/track/6udDZNfOkHjdhLqbCGSkdl,Feature
UNLOCKED,"Ducko McFli - 40 Bandz
(feat. Denzel Curry & Jace)",,,"Dec 12, 2019",On Streaming ,https://open.spotify.com/track/6nYonr9Dh3CoNxtLBwv8N0,Feature
UNLOCKED,"Smokepurrp - What I Please
(feat. Denzel Curry)",,,"Dec 13, 2019",On Streaming ,https://open.spotify.com/track/0z5oHDjD9vMsck14zoAQOc,Feature
UNLOCKED,"Thouxanbanfauni - Heavy Metal
(feat. Denzel Curry)",,,"Dec 17, 2018",On Streaming ,https://open.spotify.com/track/3NEjazNKsHyMdQoYHYwqgc,Feature
UNLOCKED,"Guapdad 4000 - Izayah
(feat. Denzel Curry, KEY!, Maxo Kream & Kenny Beats)",,,"Dec 20, 2019",On Streaming ,https://open.spotify.com/track/6136OsDSYIDRB10R2MSgWl,Feature
UNLOCKED,"Ice Billion Berg - Monster In My Mirror
(feat. Denzel Curry)",,,"Jan 31, 2020",On Streaming ,https://open.spotify.com/track/4GAspqr0c6268nBMhr0Mtc,Feature
UNLOCKED,"Nell - Freestyle
(with Denzel Curry)",,,"Feb 12, 2020",Off Streaming,https://pillows.su/f/63682d7b8c9bd0b2b83b66f810d10a7d,Feature
UNLOCKED,"Destructo - Bandz
(feat. Denzel Curry, Yo Gotti & Kevin Gates)",,,"Mar 26, 2020",On Streaming ,https://open.spotify.com/track/6tbhJje9chpqpYTXPq4TUh,Feature
UNLOCKED,"IDK - Dog Food
(feat. Denzel Curry)",,,"May 6, 2022",On Streaming ,https://open.spotify.com/track/2WTbnYggqMxe2SIixTrooY,Feature
UNLOCKED,"RIMON - Got My Back
(feat. Denzel Curry)",,,"May 14, 2020",On Streaming ,https://open.spotify.com/track/5x3v1Td2EkrUJfscZdb6zJ?si=65de5786c071469f,Feature
UNLOCKED,"Ruel - Painkiller
(feat. Denzel Curry)","Remix of ""Painkiller"" by Ruel.",,"May 25, 2020",On Streaming ,https://open.spotify.com/track/7mhqMmidKEwxuntUlNSpnr,Feature
UNLOCKED,"Ruel - Painkiller [Taka Perry Remix]
(feat. Denzel Curry & Taka Perry)","Remix of Denzel Curry's remix of ""Painkiller"" by Ruel.",,"Jun 12, 2020",On Streaming ,https://open.spotify.com/track/6FXpITmXLe80mBtxxeYRUl,Feature
UNLOCKED,"Ruel - Painkiller [Mr Carmack Remix]
(feat. Denzel Curry & Mr Carmack)","Remix of Denzel Curry's remix of ""Painkiller"" by Ruel.",,"Jun 12, 2020",On Streaming ,https://open.spotify.com/track/4cn314Vx4eZJ7mcAgqWtZr,Feature
UNLOCKED,"Ruel - Painkiller [Young Franco Remix]
(feat. Denzel Curry & Young Franco)","Remix of Denzel Curry's remix of ""Painkiller"" by Ruel.",,"Jun 12, 2020",On Streaming ,https://open.spotify.com/track/5mfIpNNJQE4uLcpA20h3F8,Feature
UNLOCKED,"Terrance Martin & Denzel Curry - Pig Feet
(feat. Kamasi Washington, G Perico & Daylyt)","Protest song against police brutality, something Denzel is known to feel very strong about. Released amidst the Black Lives Matter protests in 2020.",,"Jun 2, 2020",On Streaming ,https://open.spotify.com/track/0HYjIgbtQIrDB0KGQDMaFt,Feature
UNLOCKED,"Terrance Martin & Denzel Curry - Pig Feet
(feat. Kamasi Washington, G Perico & Daylyt)","Protest song against police brutality, something Denzel is known to feel very strong about. Released amidst the Black Lives Matter protests in 2020.",,"Jun 2, 2020",On Streaming ,https://open.spotify.com/track/0HYjIgbtQIrDB0KGQDMaFt,Feature
UNLOCKED,"IDK, Denzel Curry & Maxo Kream - Bulletproof
(GHOST, GHXST)",,,"Jun 26, 2020",On Streaming ,https://open.spotify.com/track/61VMLp503vHfCJzZ0AvITL,Feature
UNLOCKED,"Smokepurrp & RONNY J - I'm Him
(feat. Denzel Curry)",,,"Jun 19, 2020",On Streaming ,https://open.spotify.com/track/0pmoHiwOkLXb0nBxfZlbfo,Feature
UNLOCKED,"Destructo - Bandz [Loge21 Remix]
(feat. Denzel Curry, Yo Gotti, Kevin Gates & Loge21)","Remix of ""Bands"" by Destructo.",,"Jul 16, 2020",On Streaming ,https://open.spotify.com/track/2q5zIOIcNTEAJPxHVCyRRt,Feature
UNLOCKED,"BIJOU - FTP
(with Denzel Curry)",,,"Jul 31, 2020",On Streaming ,https://open.spotify.com/track/3bVNOkieNDj5gcWCIIwJ10,Feature
UNLOCKED,"Glass Animals - Tokyo Drifting
(with Denzel Curry)",,,"Aug 7, 2020",On Streaming ,https://open.spotify.com/track/2MA6YoaFF7fnWqkuOAWjUg,Feature
UNLOCKED,"Guapdad 4000 - Lil Scammer That Could
(feat. Denzel Curry)",,,"Aug 14, 2020",On Streaming ,https://open.spotify.com/track/5AK1Nvzd3w88UX78cyXhsJ,Feature
UNLOCKED,"YUNGBLUD - Lemonade
(feat. Denzel Curry)",,,"Aug 14, 2020",On Streaming ,https://open.spotify.com/track/4k9it7Buh3IXU7o3oLRjJL,Feature
UNLOCKED,"Saba - Something in the Water
(with Denzel Curry)",,,"Sep 17, 2020",On Streaming ,https://open.spotify.com/track/4exgimuT6EdLBN3R4Ww3xO,Feature
UNLOCKED,"BIJOU - FTP [Subshock & Evangelos Remix]
(with Denzel Curry; feat. Subshock & Evangelos)","Remix of ""FTP"" by BIQOU.",,"Oct 30, 2020",On Streaming ,https://open.spotify.com/track/1P8MzD6i1JUZZrHsIy50m3,Feature
UNLOCKED,"Andrew Broder - Bloodrush
(feat. Denzel Curry, Dua Saleh & Haleek Maul)",,,"Oct 13, 2020",On Streaming ,https://open.spotify.com/track/0OOBCBmLFqpLNclXaeFvQV,Feature
UNLOCKED,"BIJOU - FTP [RudeLies Remix]
(with Denzel Curry; feat. RudeLies)","Remix of ""FTP"" by BIQOU.",,"Oct 30, 2020",On Streaming ,https://open.spotify.com/track/6mdAXIFRLC7qW7fC3tpC1h,Feature
UNLOCKED,"BIJOU - FTP [Dave Summit Remix]
(with Denzel Curry; feat. Dave Summit)","Remix of ""FTP"" by BIQOU.",,"Oct 30, 2020",On Streaming ,https://open.spotify.com/track/6DI9pLGXwWtNm5eGyRrOa9,Feature
UNLOCKED,"Kembe X - Scared
(feat. Denzel Curry)",,,"Oct 30, 2020",On Streaming ,https://open.spotify.com/track/0rGNOVptFv1krYcNQOEMeu,Feature
UNLOCKED,"$NOT - Sangria
(feat. Denzel Curry)",,,"Oct 30, 2020",On Streaming ,https://open.spotify.com/track/6Gul0FnIbrDUjpL58kB9gX,Feature
UNLOCKED,"JPEGMAFIA - BALD! REMIX
(feat. Denzel Curry)","Remix of ""BALD!"" by JPEGMAFIA.",,"Nov 6, 2020",On Streaming ,https://open.spotify.com/track/5wv9OEeC3N0oWqLMATSoSK,Feature
UNLOCKED,"Nell - Respect The Vibe
(feat. Denzel Curry)",,,"Nov 16, 2020",On Streaming ,https://open.spotify.com/track/5zWdH7bjAc7GRo1IiJJCSZ,Feature
UNLOCKED,"Young Franco - Fallin Apart
(feat. Denzel Curry & Pell)",,,"Nov 27, 2020",On Streaming ,https://open.spotify.com/track/2qKmnm0cEXnvD82C6Sr2hs,Feature
UNLOCKED,"The Avalanches - Take Care In Your Dreaming
(feat. Denzel Curry, Sampa the Great & Tricky)",,,"Dec 11, 2020",On Streaming ,https://open.spotify.com/track/1t0YL0DwYHhbW5P4BvV7j1,Feature
UNLOCKED,"Jackboy - Think They Are
(feat. Denzel Curry)",,,"Dec 18, 2020",On Streaming ,https://open.spotify.com/track/3KlDHOIOsa02BxePj2AD4c,Feature
UNLOCKED,"REASON - Extinct (Extended)
(feat. Jack Harlow, Denzel Curry, Joey Bada$$, WESTSIDE BOOGIE & JID)",Released on the day it was announced MF DOOM passed as it samples MF DOOM and had been sitting in the vault. Interpolates Stronger by Kanye West.,,"Dec 31, 2020",Off Streaming,https://youtu.be/7BY9ElqknCU?si=GKeXK9_Y3BTCHJMn,Feature
,13LOOD 1N + 13LOOD OUT,(7/6/2020) (13LOOD 1N + 13LOOD OUT MIXX officially releases),,,,"Mix consisting of unreleased songs from Imperial, TA13OO and ZUU.",Feature
13LOOD 1N + 13LOOD OUT,"🌟 13LOOD 1N + 13LOOD OUT MIXX
(feat. Ghostemane, ZillaKami, Xavier Wulf & AKTheSavior) (prod. FNZ, Powers Pleasant, MARCELO, M.D.B, POSHstronaut, tizhimself & DJ Swish)","A mix of unreleased songs from Imperial, TA13OO and ZUU. The full tracklist is as follows:
 
XX - INTRO - XX
(prod. Denzel Curry)
(Samples Walk Up To Your House by Three 6 Mafia) 

XX - CHARLIE SHEEN - XX
(feat. Ghostemane) (prod. FNZ)
(Samples LIKX V STRIPPVH by SpaceGhostPurrp) 

XX - EVIL TWIN - XX
(feat. ZillaKami) (prod. Powers Pleasant)

XX - WELCOME TO THE FUTURE- XX
(feat. Xavier Wulf) (prod. FNZ & MARCELO)

XX - FALSE GODS FREESTYLE - XX
(prod. M.D.B)
(Samples On That Devil Shit by 2 Low Key)

XX - PXSH6XD SHXT - XX
(prod. POSHstronaut)
(Samples Changed (Miami) by Robb Bank$) 

XX - NO PEN NO PAD - XX
(prod. FNZ & tizhimself)

XX - GOGETA - XX
(feat. AKTHESAVIOR) (prod. FNZ & DJ Swish)",12:57,"Jan 7, 2020",Off Streaming,https://youtu.be/JlnSGO10IlM?si=UPrQq1vrlPfYnI7y,Feature
,"Melt My Eyez, See Your Future","(5/3/2021) (UNLOCKED 1.5 officially releases)
(25/3/2022) (Melt My Eyez, See Your Future officially releases)
(1/6/2022) (Melt My Eyez, See Your Future (The Extended Edition) officially releases)",,,,"Melt My Eyez See Your Future is the fifth studio album by American rapper Denzel Curry, released through PH and Loma Vista Recordings on March 25, 2022. Denzel Curry first began envisioning the album's themes in 2018, and began working on it after the completion of his 2019 album, Zuu. He revealed the album title in a November 2021 interview with Las Vegas Weekly. Melt My Eyez is a metaphor for people's tendency to avoid facing difficult topics in day-to-day life, while See Your Future is motivation for moving on by putting one's past behind and focusing on what's yet to come.",Feature
,"Melt My Eyez, See Your Future ",,,,,,
"Melt My Eyez, See Your Future","Melt Session #1
(feat. Robert Glasper) (prod. Robert Glasper)","Track 1 on Melt My Eyez, See Your Future. Transitions into Walkin.",4:01,"Mar 25, 2022",On Streaming ,https://open.spotify.com/track/1yREMRjQPuMusic videoHZgMBLTwqK?si=b4ca98de450b4d69,Album Track
"Melt My Eyez, See Your Future","Walkin
(prod. Kal Banx)","Track 2 on Melt My Eyez, See Your Future. Samples The Loving Touch by Keith Mansfield.",4:40,"Mar 25, 2022",On Streaming ,https://open.spotify.com/track/7lCvCIYuhzSqmlmBHOSxOV,Album Track
"Melt My Eyez, See Your Future","Worst Comes to Worst
(prod. Naz & Dot Da Genius)","Track 3 on Melt My Eyez, See Your Future. Samples Come Closer by Bappi Lahiri and Buffalo Gals by Malcolm McLaren.",2:50,"Mar 25, 2022",On Streaming ,https://open.spotify.com/track/3vAvG5ajSPMf6A5eFJdOR5,Album Track
"Melt My Eyez, See Your Future","John Wayne
(feat. Buzzy Lee) (prod. JPEGMAFIA)","Track 4 on Melt My Eyez, See Your Future. Samples the Discord notification sound.",2:36,"Mar 25, 2022",On Streaming ,https://open.spotify.com/track/5TNAEaHjP7i7i05IFZNQcq,Album Track
"Melt My Eyez, See Your Future","The Last
(prod. HWLS & FNZ)","Track 5 on Melt My Eyez, See Your Future.",4:22,"Mar 25, 2022",On Streaming ,https://open.spotify.com/track/7sjRc6cZ1UFWMrrNGkvkS9,Album Track
"Melt My Eyez, See Your Future","Mental
(feat. Saul Williams & Bridget Perez) (prod. Elijah Fox, Mike Hector & J Gramm)","Track 6 on Melt My Eyez, See Your Future. Transitions into Troubles. Samples It's Your Thing by Cold Grits.",2:26,"Mar 25, 2022",On Streaming ,https://open.spotify.com/track/3syCWrLg2xtVqnxzDZOi85,Album Track
"Melt My Eyez, See Your Future","Troubles
(feat. T-Pain) (prod. Powers Pleasant, DJ Khalil & Kenny Beats)","Track 7 on Melt My Eyez, See Your Future.",2:40,"Mar 25, 2022",On Streaming ,https://open.spotify.com/track/70dCOP6mGebMGFzjtJAEqX,Album Track
