Era,Name,Info/Notes,Length,Leak Date,File Date,File Date,Type,"Availability
(aka Snippet Central)",Quality,Link(s)
Dinosaur,"Pigs Fly [V1]
(feat. Domo Genesis)","Original version of ""Pigs Fly"" with a different intro and outro, and unpitched like in the released version. Talked about on a blogspot post from April 3rd, 2009.",3:33,"Dec 21, 2022",,,Song,Full,CD Quality,https://pixeldrain.com/u/nF2DbXHb
Goblin,"✨ WSUP
(prod. Toro Y Moi)","Goblin-era song that was made in the same sessions as ""Hey You"" on August 1st, 2011.",1:26,"Dec 21, 2022","Aug 1, 2011","Aug 1, 2011",Song,Full,High Quality,https://pixeldrain.com/u/fZ6LfT7C
Scum Fuck Flower Boy,⭐ DeathValley,"Scum Fuck Flower Boy scrapped recorded in 2016 with the instrumental being made in 2014, as the beat can be heard in an unused Cherry Bomb jingle. The beat was played in a Converse commercial around 2017, and the song was later reused for Scum Fuck Flower Boy, as seen in a tracklist. Leaked on December 22nd, 2022 after a successful $500 groupbuy.",1:08,"Dec 21, 2022",,,Song,Full,CD Quality,https://pixeldrain.com/u/MfuQwc9K
CALL ME IF YOU GET LOST [V2],"A$AP Rocky - Roddy Piper [V4]
(feat. Tyler, The Creator) (prod. Pharrell Williams)
(RIOT (Rowdy Pipe'n))","The latest version of ""Piper"", other than the released version, was first played during Rocky's Rolling Loud New York 2022 performance on September 24th, 2022 and during Rocky's Amazon Live Performance on December 8th, 2022 where Rocky states the title ""Rowdy Rod Piper"". This version still features Tyler, The Creator as Rocky shouts him and Pharrell out during the Rolling Loud performance. This version features the alternate line ""opposite of quiet, pussy nigga diet"" instead of the ""on a pussy nigga diet"" line from the Rolling Loud Portugal 2022 performance just a few months before.",,"Dec 8, 2022",,,Song,Partial,High Quality,https://pixeldrain.com/u/EWRgGvm2
WOLF [V3],"Kanye West - Nobody To Love [V4]
(feat. Charlie Wilson, John Legend & Elon Rutberg) (prod. No I.D., Tyler, The Creator, Sak Pase & MIKE DEAN)
(Bound 2)","Earlier version of ""Nobody To Love."" Contains a missing line and less / different production. ",4:43,"Nov 29, 2022",,,Production,Full,High Quality,https://pixeldrain.com/u/tnZCFRpS
CALL ME IF YOU GET LOST [V1],"🏆 PAPARAZZI [V2]
(feat. Skepta)","CMIYGL-era scrap, updated version of the song, has a new featuring from Skepta. Tyler's and Skepta's verses are in two different qualities for some reason.",2:43,"Oct 21, 2022",,,Song,Snippet,CD Quality,https://pixeldrain.com/u/RSW5JtFx
WANG$AP,"Potato Salad [V4]
(prod. Kanye West)
(Sexydick, Knock Knock)","Alternate version of “Potato Salad” played during a Discord voice chat recording. Features Tyler freestyling some alternate lyrics, it is unknown whether Rocky is involved yet. This freestyle is presumably longer than the released version, as it overlaps with a section of the “Knock Knock” instrumental not reached in “Potato Salad.”",,"Aug 10, 2022",,,Song,Partial,Recording,https://pixeldrain.com/u/TFu6mziJ
Ace,🗑️ Rocky,"Loose instrumental made in 2007. Has no relation to ""Rocky's Revenge.""",2:32,"Jul 29, 2022","Jun 29, 1905",2007,Instrumental,Full,High Quality,https://pixeldrain.com/u/yBgmcQvo
Poly/Mono,⭐ Gen 2,"Poly/Mono-era beat, made in 2009.",2:41,"Jul 29, 2022","Jul 1, 1905",2009,Instrumental,Full,High Quality,https://pixeldrain.com/u/4faj5vp7
Bodega,N.E.R.D - Love Bomb (Remix),"Remix of ""Love Bomb"" by N.E.R.D., made on April 24th, 2008 and tagged with Bodega. Just rearranged. Original outro of Bodega.",4:59,"Jul 29, 2022","Apr 24, 2008","Apr 24, 2008",Remix,Full,CD Quality,https://pixeldrain.com/u/cf94MKrJ
Dinosaur,⭐ Suicidal Thoughts,"Finished Dinosaur track with a beat that would later be reused for ""Last Roll"" by Domo Genesis, recorded on April 21st, 2009 (5 days after the instrumental was made).",2:50,"Jul 19, 2022","Apr 21, 2009","Apr 21, 2009",Song,Full,High Quality,https://pixeldrain.com/u/QxFYPbaY
Ace,"Stranger Stranger
(More Ovaltine Please)","Loose instrumental, year unknown. Used for the brandUn DeShay song, ""More Ovaltine Please."" ",3:53,"Jul 18, 2022",,,Instrumental,Full,Low Quality,"https://pixeldrain.com/u/JPt2aESr 
https://pixeldrain.com/u/JxjVoC4v"
The OF Tape Vol. 1,"Domk
(Remember Me (Instrumental))","Instrumental to ""Remember Me,"" made in 2007.",3:28,"Jul 18, 2022","Jun 29, 1905",2007,Instrumental,Full,High Quality,https://pixeldrain.com/u/sb9xNwx3
Dinosaur,"✨ Fuck You Bunch
(prod. Portishead & Dave McDonald)
(Elysuim)","Dinosaur track, made on April 29th, 2009. Uses ""Elysium"" by Portishead as the instrumental. ",1:40,"Jul 18, 2022","Apr 29, 2009","Apr 29, 2009",Song,Full,High Quality,https://pixeldrain.com/u/Q5uoL39d
Dinosaur,⭐ Prism,"Dinosaur track, made on December 16th, 2008. This is where the March 2009 release date was first mentioned.",1:43,"Jul 18, 2022","Dec 16, 2008","Dec 16, 2008",Song,Full,High Quality,https://pixeldrain.com/u/jNr4nEfu
CALL ME IF YOU GET LOST [V2],"A$AP Rocky - Roddy Piper [V3]
(feat. Tyler, The Creator) (prod. Pharrell Williams)
(RIOT (Rowdy Pipe'n))","During the Rolling Loud Portugal performance Rocky plays a seemingly later version of the song ""Roddy Piper"" which is confirmed to still feature the Tyler, The Creator verse as Rocky says ""Play that Tyler and Pharrell new joint"". This version of the song features additional adlibs not seen in the other previous version, and an alternate line as this version says ""on a pussy nigga diet"" while later versions say ""opposite of quiet, pussy nigga diet"".",,"Jul 7, 2022",,,Song,Partial,Recording,https://pixeldrain.com/u/fZyS46ak
CALL ME IF YOU GET LOST [V2],"Pharrell Williams - Cash In Cash Out (Live Version)
(feat. 21 Savage & Tyler, The Creator)","Live version of ""Cash In Cash Out"" that has a slightly extended intro, a random 1 bar interlude, some alternate production, and an extended outro. Also features 21 Savage fucking up all of his lyrics.",4:02,"Jun 19, 2022",,,Performance,Full,Stream,https://pixeldrain.com/u/2sqshAVU
CALL ME IF YOU GET LOST [V2],"✨ The Weeknd - Here We Go... Again
(feat. Tyler, The Creator) (prod. The Weeknd, Rex Kudo, Bruce Johnston, Brian Kennedy, Benny Bock & Charlie Coffeen)","Original version of ""Here We Go... Again"" by The Weeknd, features an extended Tyler verse. ",3:58,"Jun 16, 2022",,,Song,Full,CD Quality,https://pixeldrain.com/u/Ly66a7Gu
Ace,JT,Loose instrumental made in 2011.,1:58,"Jun 14, 2022",,,Instrumental,Full,CD Quality,https://pixeldrain.com/u/JyNw4fVu
Bodega,Blow (Instrumental),"Instrumental to ""Blow"" and ""Breez (Some Use Pipes)"" by Skoolie300, made on June 3rd, 2008. Comment on this song says ""FOR gay nigga"" (whatever that means).",2:56,"Jun 14, 2022","Jun 3, 2008","Jun 3, 2008",Instrumental,Full,High Quality,https://pixeldrain.com/u/Y8tCNrjR
Dinosaur,Wwarehouse,"Instrumental to ""Wwarehouse"" by Hodgy Beats, made on January 7th, 2009 alongside ""Dot Dot Dot.""",2:21,"Jun 14, 2022","Jan 7, 2009","Jan 7, 2009",Instrumental,Full,CD Quality,https://pixeldrain.com/u/7GWMETv4
CALL ME IF YOU GET LOST [V2],"Pharrell Williams - Cash In Cash Out (Instrumental)
(feat. 21 Savage & Tyler, The Creator)","Instrumental to ""Cash In Cash Out"" by Pharrell Williams.",3:32,"Jun 11, 2022",,,Instrumental,Full,CD Quality,https://pixeldrain.com/u/LUmuTzms
Ace,Meatjuice,Loose instrumental made in 2010.,2:34,"May 21, 2022",,,Instrumental,Full,High Quality,https://pixeldrain.com/u/2muZ7Lkg
Personal Stash,Dream Away,Personal Stash beat.,5:30,"May 21, 2022",,,Instrumental,Full,CD Quality,https://pixeldrain.com/u/H7Pncv3n
Dinosaur,OF Theme,"Dinosaur track used as an interlude, recorded on March 16th, 2009 & talked about on a Matt Martians tweet.",1:38,"May 21, 2022","Mar 16, 2009","Mar 16, 2009",Song,Full,High Quality,https://pixeldrain.com/u/VJ9eBs19
Dinosaur,✨ Yamaka [V1],"OG Filename: yamakarough 2
Dinosaur track.",2:57,"May 20, 2022",,,Song,Full,CD Quality,https://pixeldrain.com/u/mGDLDiSD
Zombie Circus,✨ Rotten Sarah,"The darker sequel to Sarah that was recorded on January 30th, 2009 (predating Sarah's recording date), mentioned by Tyler on Twitter. Leaked after a successful $500 groupbuy.",1:27,"May 17, 2022","Jan 30, 2009","Jan 30, 2009",Song,Full,High Quality,https://pixeldrain.com/u/uFmU57Uz
Dinosaur,Dinosaur [V1],Rough draft version of the title track.,,"May 16, 2022",,,Song,Snippet,Recording,"https://pixeldrain.com/u/5YbFXkJW
https://pixeldrain.com/u/AUz411p3"
Flower Boy,"⭐️ See You Again [V2] (Live Version)
(feat. Kali Uchis)","Live version of ""See You Again"" with a completely different intro and extended instrumental outro. Samples Army Marching Cadence.",5:58,"Apr 7, 2022",,,Performance,Full,Lossless,https://pixeldrain.com/u/bVjS37k4
Flower Boy,"✨ Who Dat Boy (Live Version)
(feat. A$AP Rocky)","Live version of ""Who Dat Boy"" with a small instrumental interlude and extended instrumental outro.",3:50,"Apr 7, 2022",,,Performance,Full,Lossless,https://pixeldrain.com/u/CSUcABx3
IGOR,EARFQUAKE [V2] (Live Version),"Live version of ""EARFQUAKE"" with an extended intro.",7:07,"Apr 7, 2022",,,Performance,Full,Lossless,https://pixeldrain.com/u/5GicNbbv
CALL ME IF YOU GET LOST [V2],LEMONHEAD [V2] (Live Version),Another tour version of 'LEMONHEAD with a shorter alternate intro and only Tyler's verse.,1:34,"Apr 7, 2022",,,Performance,Full,Lossless,https://pixeldrain.com/u/hM7HdYmf
CALL ME IF YOU GET LOST [V2],"WUSYANAME [V1] (Live Version)
(feat. Youngboy Never Broke Again & Ty Dolla $ign)","Tour version of 'WUSYANAME' with an extended intro and outro, both of which would be used for the music video.",2:59,"Apr 7, 2022",,,Performance,Full,Lossless,https://pixeldrain.com/u/9bmELmTT
CALL ME IF YOU GET LOST [V2],MASSA [V2] (Live Version),Another tour version of 'MASSA' with a beautiful intro and an extended outro.,3:58,"Apr 7, 2022",,,Performance,Full,Lossless,https://pixeldrain.com/u/fJCjQ96o
CALL ME IF YOU GET LOST [V2],I THOUGHT YOU WANTED TO DANCE (Live Version),Tour version of 'I THOUGHT YOU WANTED TO DANCE' with an extended intro and some new production.,7:04,"Apr 7, 2022",,,Performance,Full,Lossless,https://pixeldrain.com/u/MiaB7xwX
CALL ME IF YOU GET LOST [V2],CORSO (Live Version),Live version of 'CORSO' played during the CMIYGL tour. Features an extended interlude,2:40,"Mar 31, 2022",,,Performance,Full,Stream,https://pixeldrain.com/u/f4rWADxY
CALL ME IF YOU GET LOST [V2],HOT WIND BLOWS (Live Version),"Live version of 'HOT WIND BLOWS' that has an extended flute intro, some extra flute production, and a longer outro.",2:34,"Mar 31, 2022",,,Performance,Full,Stream,https://pixeldrain.com/u/r1xiTQ3J
Ill Cab TV Thief,"The Eyeball
(The Nosebleed (Instrumental))","Instrumental to ""Nose Bleed"" that was played on Loiter Squad.",2:57,"Mar 25, 2022",,,Instrumental,Full,High Quality,https://pixeldrain.com/u/rwqezTHP
CALL ME IF YOU GET LOST [V1],"Lost & Found Freestyle 2019 [V1]
(with A$AP Rocky) (prod. The Neptunes)","An earlier version of ""Lost & Found  2019"" which features the ""Property of A$AP Worldwide, AWGE"" tag, and seemingly cuts off halfway through Tyler's verse. This version was previewed at Nigo's fashion show in March of 2022, and fades in and out from different songs.",,"Jan 23, 2022",,,Song,Partial,High Quality,https://pixeldrain.com/u/Ge3KrsMj
Louis Vuitton Show,✨ See You Again [V8],"Version of ""See You Again"" with an orchestral intro and some alternate orchestral production, used for the Louis Vuitton Show.",4:34,"Jan 20, 2022",,,Song,Full,High Quality,https://pixeldrain.com/u/tHikUoVs
CALL ME IF YOU GET LOST [V2],"Kanye West - Come to Life [V18]
(feat. Tyler, The Creator) (prod. Jeff Bhasker, Warryn Cambell, Ojivolta, MIKE DEAN & Zen Micheline Hung)","OG Filename: Come to life MIX
Similar to the final version, with background vocals from Tyler, The Creator and production differences.",5:10,"Sep 27, 2021",,,Song,OG File,Lossless,https://pixeldrain.com/u/fB7SM9jT
CALL ME IF YOU GET LOST [V1],"Maxo Kream - BIG PERSONA [V3]
(prod. Tyler, The Creator)
(Big Spender, BIG PERSONA (Instrumental))","Early version of the instrumental to ""BIG PERSONA"" by Maxo Kream, lacks intro strings.",2:26,"Sep 15, 2021",,,Instrumental,Beat Only,CD Quality,https://pixeldrain.com/u/P4HMxdMR
CALL ME IF YOU GET LOST [V1],"Maxo Kream - BIG PERSONA (Instrumental)
(prod. Tyler, The Creator)","Early version of the instrumental to ""BIG PERSONA"" by Maxo Kream, lacks intro strings.",2:26,"Sep 15, 2021",,,Instrumental,Full,CD Quality,https://pixeldrain.com/u/P4HMxdMR
CALL ME IF YOU GET LOST [V2],"Maxo Kream - Cracc Era (Instrumental)
(feat. Tyler, The Creator) (prod. Tyler, The Creator)","Instrumental to ""Cracc Era"" by Maxo Krean that was found in an old Shogani VC recording.",,"Sep 4, 2021",,,Instrumental,Snippet,Recording,https://pixeldrain.com/u/o7bZDTUe
Flower Boy,"Boredom [V2] (Live Version)
(feat. Anna Of The North & Rex Orange County)","Second live version of ""Boredom"", same as the previous version but without the pitch down or sample on the outro.",4:15,"Jul 30, 2021",,,Performance,Full,Stream,https://pixeldrain.com/u/ytWKyYEJ
CALL ME IF YOU GET LOST [V2],LEMONHEAD [V1] (Live Version),"Tour version of 'LEMONHEAD' that has an extended intro, which is an extended version of the outro used on streaming.",1:41,"Jul 30, 2021",,,Performance,Full,Stream,https://pixeldrain.com/u/yJqWGvJs
CALL ME IF YOU GET LOST [V2],MASSA [V1] (Live Version),Tour version of 'MASSA' with a short alternate intro.,3:37,"Jul 30, 2021",,,Performance,Full,Stream,https://pixeldrain.com/u/vGnLc8Kp
CALL ME IF YOU GET LOST [V2],RUNITUP(Live Version),Tour version of 'RUNITUP' with an extended intro and outro.,5:16,"Jul 30, 2021",,,Performance,Full,Stream,https://pixeldrain.com/u/cwLaQmx5
CALL ME IF YOU GET LOST [V2],SWEET (Live Version),"Tour version of 'SWEET' with less / alternate production, and an extended outro",4:22,"Jul 30, 2021",,,Performance,Full,Stream,https://pixeldrain.com/u/CcuibBX1
CALL ME IF YOU GET LOST [V2],"??? (Live Version)
(Massa Interlude)","Live interlude played during CMIYGL performances. Uses pitched down DJ Drama Vocals from SIR BAUDELAIRE. Alt link is higher quality, but only partial.","2:08
(Alt = 0:44)","Jul 30, 2021",,,Performance,Full,Stream,"https://pixeldrain.com/u/WHEiRxVb
https://pixeldrain.com/u/QWJMG5yC"
CALL ME IF YOU GET LOST [V2],"RISE! (Live Version)
(feat. Daisy World)","Version of ""RISE!"" were Daisy World sings a significant amount of alternate vocals. The attached link is a splice of avaliable footage.",,"Jun 29, 2021",,,Performance,Partial,Recording,https://pixeldrain.com/u/C5uGSxi5
CALL ME IF YOU GET LOST [V2],"RISE!
(Voicemall #5)","Voicemail version of ""RISE!.""",0:36,"Jun 21, 2021",,,Song,Full,Recording,https://pixeldrain.com/u/mLWUE5Uh
CALL ME IF YOU GET LOST [V2],"🏆 Call Me [V2]
(Voicemail #3, NUMBER, NUMBER)","One of four jingle / interlude voicemails made as a promo for CMIYGL's release. This is one of the more imfamous of the four voicemails, commonly referred to as ""NUMBER, NUMBER"" since there wasn't a name attached to this until the original instrumental leaked. While a full version of this jingle's instrumental is had, a higher quality version of this song with vocals isn't and it's likely one will never pop up.",0:21,"Jun 15, 2021",,,Other / Unknown,Full,Recording,https://pixeldrain.com/u/5GW4JaA1
CALL ME IF YOU GET LOST [V2],"MOMMA TALK
(Voicemall #1)","Voicemail version of ""MOMMA TALK.""",1:11,"Jun 15, 2021",,,Song,Full,Recording,https://pixeldrain.com/u/A5YfqbUj
CALL ME IF YOU GET LOST [V2],"✨ ???
(feat. Lil Yachty)
(Voicemail #2, PASSPORT)","Voicemail of Tyler yapping while Lil Yachty is talking in the background, commonly referred to as ""PASSPORT"" since there isn't a name attached to this. The instrumental would later be used as the intro to the WHARF TALK music video.",0:30,"Jun 15, 2021",,,Other / Unknown,Full,Recording,https://pixeldrain.com/u/ULv5Tcch
CALL ME IF YOU GET LOST [V2],"✨ Call Me [V2]
(Voicemail #3, NUMBER, NUMBER)","One of four jingle / interlude voicemails made as a promo for CMIYGL's release. This is one of the more imfamous of the four voicemails, commonly referred to as ""NUMBER, NUMBER"" since there wasn't a name attached to this until the original instrumental leaked. While a full version of this jingle's instrumental is had, a higher quality version of this song with vocals isn't and it's likely one will never pop up.",0:21,"Jun 15, 2021",,,Song,Full,Recording,https://pixeldrain.com/u/5GW4JaA1
CALL ME IF YOU GET LOST [V2],"SIR BAUDELAIRE
(Voicemail #4, Cookie Crumbs)","Voicemail of Tyler rapping the lyrics to ""SIR BAUDELAIRE.""",0:40,"Jun 15, 2021",,,Song,Full,Recording,https://pixeldrain.com/u/qxHLFDsR
Bastard,"⭐️ Llama [V1]
(Flowers)","First version of ""Llama"" with some effects already added, seen on an original Bastard tracklist under the name ""Llama (Flowers)""",3:23,"May 21, 2021","Jul 1, 1905",2009,Song,Full,High Quality,https://pixeldrain.com/u/WuRw8MhP
IGOR,"Kali Uchis - After The Storm (Instrumental)
(feat. Tyler, The Creator)","Instrumental to ""After The Storm"" by Kali Uchis, leaked on April 10th alongside other Kali stems.",3:34,"Apr 10, 2021",,,Instrumental,Full,CD Quality,https://pixeldrain.com/u/HfZ889Ck
IGOR,EARFQUAKE (Instrumental),"Instrumental to ""EARFQUAKE.""",3:13,"Feb 20, 2021",,,Instrumental,Full,CD Quality,https://pixeldrain.com/u/v1rwLdL1
Dinosaur,Sarah.,"Dinosaur file for ""Sarah"" with the only difference being the tagging and some slight mixing differences, recorded on February 1st, 2009.",4:46,"Feb 9, 2021","Feb 1, 2009","Feb 1, 2009",Song,Full,High Quality,https://pixeldrain.com/u/Fbwcj1mZ
WANG$AP,"⭐️ Jingling [V2]
(with A$AP Rocky)
(Jingelin, Jinggling)","OG Filename: Jinggling _ ELS 6.7.17
WANG$AP throwaway with minimal mumble and verses from both Rocky and Tyler. The intro samples season 1 episode 3 of Bernie Mac's Def Jam Comedy set and the instrumental samples 'Friends of Mine' by The Notorious B.I.G. Filename misspells 'Jingling' as 'Jinggling'",4:06,"Feb 8, 2021","Jun 18, 2017","Jun 7, 2017",Song,Full,CD Quality,https://pixeldrain.com/u/YZEwGa22
IGOR,"A$AP Rocky - Run It [V3]
(prod. Tyler, The Creator)","After the WANG$AP album was scrapped, the song ""Run It"" was given to Rocky for his album with this version excluding Tyler, The Creator. This version is said to feature at least one brand new verse from Rocky, but any further differences about this solo version of the song are not known.",,"Dec 24, 2020",,,Song,Snippet,CD Quality,https://pixeldrain.com/u/B2i7Fvo6
Dinosaur,"⭐ The Nosebleed
(Nose Bleed)","Dinosaur track, made on December 3rd, 2008.",2:58,"Aug 15, 2020","Dec 3, 2008","Dec 3, 2008",Song,Full,High Quality,https://pixeldrain.com/u/eufcEE2q
IGOR,"EARFQUAKE / NEW MAGIC WAND (Live Version)
(feat. Charlie Wilson & Boyz II Men)","Version of ""EARFQUAKE / NEW MAGIC WAND"" played at the 2020 Grammys, featuring vocals from both Charlie WIlson and Boyz II Men. Show mix for this version is had.",4:43,"Jan 27, 2020",,,Performance,Full,Stream,https://pixeldrain.com/u/dyQS6fYv
Scum Fuck Flower Boy,"Mac Miller - Cactus Face
(prod. Tyler, The Creator)","Mac Miller throwaway from the Divine Feminine sessions, has production from Tyler, The Creator.",3:17,"Jan 1, 2020",,,Production,Full,High Quality,https://pixeldrain.com/u/DnCMoH6c
IGOR,✨ EARFQUAKE [V1] (Live Version),"Live version of ""EARFQUAKE"" played at Camp Flog Gnaw in 2019. Has a 3 minute piano intro.",7:12,"Nov 9, 2019",,,Performance,Full,Stream,https://pixeldrain.com/u/RPuRQrLH
IGOR,ARE WE STILL FRIENDS (Live Version),"Live version of 'ARE WE STILL FRIENDS' that is the same as release, but the closing note is held for way longer.",5:06,"Nov 9, 2019",,,Performance,Full,Recording,https://pixeldrain.com/u/4taV3h4v
CALL ME IF YOU GET LOST [V1],"Lil Yachty - Tokyo Drift [V1]
(feat. A$AP Rocky & Tyler, The Creator)
(T.D)","Early version of ""T.D"" teased at Lil Yachty's show in October 2019. This version has alternate lyrics from A$AP Rocky and Tyler, The Creator, but it is unknown if there are any differences in Lil Yachty's verse or if Tierra Whack is even on the song.",,"Oct 5, 2019",,,Song,Snippet,Recording,https://pixeldrain.com/u/yrfdwHdA
IGOR,"⭐️ GONE, GONE [V3] (Live Version)","Original version of ""GONE, GONE"" played on the IGOR Tour that is slowed down, and has alternate production. Might be the same version from the WOLF sessions, but who knows.",2:56,"Sep 29, 2019",,,Performance,Full,Recording,https://pixeldrain.com/u/4Z5sM25r
WANG$AP,"✨ Run It [V2]
(with A$AP Rocky)","OG Filename: Run It RUFF REF 1
Later version with more finished takes, but still has some mumble. After it leaked, Tyler stated in a now deleted Tweet it didn't get 'more than 32 minutes of attention'. Leaked via groupbuy. OG Filename might be wrong.",2:18,"Jul 18, 2019","Jun 7, 2017","Jun 7, 2017",Song,Full,CD Quality,https://pixeldrain.com/u/JcMwEr2s
Scum Fuck Flower Boy,"Firework [V2]
(Glitter)","Updated version of ""Firework"" instrumental that was used in the GOLF: Spring/Summer 2019 video.",,"Jun 28, 2019",,,Song,Beat Only,High Quality,https://pixeldrain.com/u/PX6fSitQ
WOLF [V3],"✨ IFHY [V2] (Live Version)
(feat. Pharrell Williams)","Second live version of ""IFHY"", has an extended intro with a bunch of thunder effects at the start.",5:54,"May 31, 2019",,,Performance,Full,Stream,https://pixeldrain.com/u/Rozu72TT
Flower Boy,Sometimes... [V1] (Live Version),"First Live version of ""Sometimes..."" that is slowed down and contains a new verse. Show mix for this version is had.",1:15,"May 31, 2019",,,Performance,Full,Stream,https://pixeldrain.com/u/fttKkFmb
Flower Boy,"See You Again [V1] (Live Version)
(feat. Kali Uchis)","First live version of ""See You Again"", contains an alternate outro. Show mix for this version is had.",3:30,"May 31, 2019",,,Performance,Full,Stream,https://pixeldrain.com/u/gKcfQyRo
Flower Boy,"⭐️ 911 (Live Version)
(feat. Frank Ocean)","Live version of ""911""with an alternate intro containing a new verse. Show mix for this version is had.",4:03,"May 31, 2019",,,Performance,Full,Stream,https://pixeldrain.com/u/zZYj6DJ2
Flower Boy,Mr. Lonely (Live Version),"Live version of ""Mr. Lonely"" with an extended intro and alternate outro.",3:02,"May 31, 2019",,,Performance,Full,Stream,https://pixeldrain.com/u/sE81mj8V
Flower Boy,"Boredom [V1] (Live Version)
(feat. Anna Of The North & Rex Orange County)","Live version of ""Boredom"" with an alternate outro.",4:15,"May 31, 2019",,,Performance,Full,Stream,https://pixeldrain.com/u/Xg9Rgbh9
Flower Boy,"Frank Ocean - Biking (Live Version)
(feat. Tyler, The Creator)","Live version of ""Biking"" played at GOV BALL 2019 that uses the BLONDED Radio instrumental",1:28,"May 31, 2019",,,Performance,Full,Stream,https://pixeldrain.com/u/Yetw8qcB
IGOR,IGOR'S THEME [V1] (Live Version),"Tour version of ""IGOR'S THEME"" that has some extra vocals at the start, and an alternate verse.",3:31,"May 31, 2019",,,Performance,Full,Stream,https://pixeldrain.com/u/xrk3zVrs
IGOR,I THINK [V1] (Live Version),"First live version ""I THINK"" with an alternate intro, interlude, and small instrumental differences.",3:56,"May 31, 2019",,,Performance,Full,Stream,https://pixeldrain.com/u/PDZfSsCm
IGOR,✨ NEW MAGIC WAND (Live Version),"Live version of ""NEW MAGIC WAND""with an alternate intro and slightly different production.",4:24,"May 31, 2019",,,Performance,Full,Stream,https://pixeldrain.com/u/tUk4mkGG
IGOR,✨ PUPPET (Live Version),"Live version of ""PUPPET"" that features an iconic extended intro, and some alternate production.",3:19,"May 31, 2019",,,Performance,Full,Stream,https://pixeldrain.com/u/ZHNYUbTB
IGOR,WHAT'S GOOD (Live Version),"Live version of ""WHAT'S GOOD"" played at GOV BALL 2019 that uses the interlude sample from IGOR's initial release. Also has some added production",3:26,"May 31, 2019",,,Performance,Full,Stream,https://pixeldrain.com/u/r1uNGWTP
IGOR,"GONE, GONE [V1] (Live Version)","Live version of ""GONE, GONE"" that has an extended outro containing some new lyrics.",4:39,"May 31, 2019",,,Performance,Full,Stream,https://pixeldrain.com/u/DBhN5RNr
IGOR,OKRA (Live Version),"Live version of ""OKRA"" that contains an extended intro.",3:23,"May 31, 2019",,,Performance,Full,Stream,https://pixeldrain.com/u/4e1J3yQA
IGOR,PAPARAZZI [V1],Snippet previewed on Tyler's instagram story the day before IGOR dropped. Unknown if Skepta is featured on the song.,,"May 16, 2019",,,Song,Snippet,Recording,https://pixeldrain.com/u/PdsZx2my
IGOR,"Intro [V3]
(feat. Lil Uzi Vert & Solange)
(IGOR'S THEME)","Snippet posted to Tyler's Instagram story, sounds very similar to released.",,"May 7, 2019",,,Song,Snippet,Recording,https://pixeldrain.com/u/qyzT6cJW
Bastard,brandUn DeShay - 36C (Instrumental) [V2],"Instrumental to ""36C"" that was released by brandUn in 2019 on his ""randUm"" beats compilation. This a remake that brandUn DeShay made.",3:17,"Apr 16, 2019",,,Instrumental,Full,High Quality,https://pixeldrain.com/u/8HWLq8dq
WOLF [V3],"Tamale [V2] (Live Version)
(add. Tallulah)","Live version of ""Tamale"" played at Camp Flog Gnaw 2018. Features an extended intro of Tallulah screaming.",1:44,"Nov 10, 2018",,,Performance,Full,Stream,https://pixeldrain.com/u/WRgYkPaY
Flower Boy,"Where This Flower Blooms (Live Version)
(feat. Frank Ocean)","Live version of ""Where This Flower Blooms"" played at CFG 2018. Repeats some lines.",2:39,"Nov 10, 2018",,,Performance,Full,Stream,https://pixeldrain.com/u/daev3P3v
Flower Boy,✨ I Ain't Got Time (Live Version),"Live version of ""I Ain't Got Time!"" with an alternate intro and an extended interlude.",4:06,"Nov 10, 2018",,,Performance,Full,Stream,https://pixeldrain.com/u/Gzr6Q9Ki
Flower Boy,Glitter (Live Version),"Live version of ""Glitter"" which includes alternate lyrics from an earlier version and an extended instrumental interlude.",4:20,"Nov 10, 2018",,,Performance,Full,Stream,https://pixeldrain.com/u/7pP2zvGm
IGOR,??? (Live Version),"Live interlude played at the start of Tyer's CFG 2018 set before ""Where This Flower Blooms"".",1:46,"Nov 10, 2018",,,Performance,Full,Stream,https://pixeldrain.com/u/fDaW4h6P
IGOR,"✨ ??? (Live Version)
(IDK IF I CAN TAKE IT ANYMORE)","Live interlude played during Tyer's CFG 2018 set. Fan dubbed ""IDK IF I CAN TAKE IT ANYMORE"". ",1:03,"Nov 10, 2018",,,Performance,Full,Stream,https://pixeldrain.com/u/H8oTAHgK
Grinch EP,"You're A Mean One, Mr. Grinch",Earlier version that has Tyler singing instead of some random woman.,1:53,"Oct 24, 2018",,,Song,Full,CD Quality,https://pixeldrain.com/u/qesGsZTa
Scum Fuck Flower Boy,"🏆 Firework [V1]
(Glitter)","Original version of ""Glitter"" that was played at Illegal Civ 3.",,"Aug 25, 2018",,,Song,Partial,Recording,https://pixeldrain.com/u/DEwutQJK
Flower Boy,November (Live Version),"Live version of ""November"" with an alternate intro and a cut right before the bridge. Show mix for this version is had.",2:28,"Jul 28, 2017",,,Performance,Full,Stream,https://pixeldrain.com/u/2StvYxUM
Cherry Bomb,"CHERRY
(CHERRY BOMB)","Demo version of ""CHERRY BOMB"" that was previewed in the Cherry Bomb documentary. Attached is the excerpt from the doc that it can be heard in.",,"May 30, 2017",,,Song,Snippet,Recording,https://pixeldrain.com/u/HQUPynTY
