Era,Name,"Notes
Join our discord server here  (LINK RE-UPd)
And our telegram channel here",Track Length,Release Date,Type,Streaming,Link(s)
,Kream,"(Nov 5, 2011) The High Chronical$ is officially released
(Fall 2012) (Kream morphs into Young Mi$fit)",,,,,
Kream,"⭐ Cry
(prod. Harry Fraud)","Released alongside a music video on July 17th, 2011. Commonly known as Cartis first official song.",3:29,"Jul 17, 2011",Single,No,https://www.youtube.com/watch?v=tIWpD2A155E&ab_channel=Kaijonesmedia
Kream,"Carolina Blue
(prod. Cookin Soul)","Carti's oldest released song that is still on his own socials. Released on Newgrounds on August 6th, 2012.",1:37,"Aug 6, 2012",Single,Exclusive,https://www.newgrounds.com/audio/listen/497783
,Young Mi$fit,"(Fall 2012) (Kream Morphs into Young Mi$fit)
(Nov 12, 2012) (Young Mi$fit is officially released)",,,,,
Young Mi$fit,"36 Villianz 
(prod. Jayyeah)",First song on the Young Mi$fit mixtape. Released on Carti's bandcamp.,3:19,"Nov 12, 2012",Mixtape,Exclusive,https://jcartier.bandcamp.com/track/36-villianz
Young Mi$fit,"ZOMBIE$
(prod. Playboi Carti)","Carti's 2nd oldest released song that is still on his own socials. Released on Newgrounds on February 3rd, 2013.",1:37,"Nov 12, 2012",Single,Exclusive,https://jcartier.bandcamp.com/track/zombie
Young Mi$fit,"Skit 
(prod. $ir Cartier)","Third track on ""Young Mi$fit""",0:40,"Nov 12, 2012",Mixtape,Exclusive,https://jcartier.bandcamp.com/track/skit
Young Mi$fit,"Blue Crystal$ 
(feat. $urgn) (prod. Tom Voduz)","Fourth track on ""Young Mi$fit""",3:38,"Sep 3, 2012",Mixtape,Exclusive,https://jcartier.bandcamp.com/track/blue-crystal
Young Mi$fit,"⭐ $teeze 
(prod. TDeeZy)","Track five on ""Young Mi$fit""",2:55,"Jul 15, 2012",Mixtape,Exclusive,"https://www.youtube.com/watch?v=H2dv-nfl15c&ab_channel=Everywhere%26Nowhere 
https://jcartier.bandcamp.com/track/teeze"
Young Mi$fit,$teeze [Music Video],MV for $teeze,2:55,"Aug 4, 2012",Music Video,No,https://www.youtube.com/watch?v=H2dv-nfl15c
Young Mi$fit,"Club Pink 
(feat. Nessly) (prod. Cold Hart)",Track 6. Released on Bandcamp,3:26,"Nov 12, 2012",Mixtape,Exclusive,https://jcartier.bandcamp.com/track/club-pink-ft-nessly
Young Mi$fit,"⭐ Van Go 
(prod. Jayyeah)","Track seven on ""Young Mi$fit""",2:08,"Nov 12, 2012",Mixtape,Exclusive,"https://jcartier.bandcamp.com/track/van-go
https://music.froste.lol/song/57321e8bc9d38157a24f633b1e855400 "
Young Mi$fit,"$kit 
(prod. $ir Cartier)","Track eight on ""Young Mi$fit""",1:25,"Nov 12, 2012",Mixtape,Exclusive,https://jcartier.bandcamp.com/track/kit
Young Mi$fit,"⭐ Paper Cha$in 
(prod. SonoSonoSoul)","Track nine on ""Young Mi$fit"", alongside being the outro track.",2:53,"Nov 12, 2012",Mixtape,Exclusive,https://jcartier.bandcamp.com/track/paper-cha-in
,$ensation,"(Nov 11, 2012) (Young Mi$fit is officially released)
(July 15th, 2013) (Sen$ation is possibly released?)
(Jan 8, 2014) ($ir Cartier changes his monikier to Playboi Carti)",,,,,
Sen$ation,"⭐ Outchea
(prod. Tay Lewis)","Was released on Cartis Group SoundCloud named ""iQ"", (https://soundcloud.com/moregang) alongside a music video in 2013. Released on Mar 28 9:30 pm and was the lead single for $ensation.",3:37,"Mar 28, 2013",Single,Exclusive,"https://www.newgrounds.com/audio/listen/532245
https://music.froste.lol/song/8e8a0666e6d602e9f159a6af4c08aa3d "
Sen$ation,"ZOMBIE$ 
($ ZOMB $)","Released on Carti's newgrounds page on February 3rd, 2013.",1:41,"Feb 3, 2013",Single,No,https://www.newgrounds.com/audio/listen/521959
Sen$ation,"H2O 
(prod. Jones Beatz)","Released alongside a music video on May 6th, 2013.",2:23,"May 6, 2013",Single,No,"https://www.youtube.com/watch?v=6zBL-NECY38&ab_channel=srafhgs
https://music.froste.lol/song/299af4d9327da172bbc9a60439e02582 "
Sen$ation,"This Ca$h
(feat. Cultie) (prod. MelroseZee)
(Cash)","Released by Playboi Carti sometime around May 31st, 2013.",3:46,"May 31, 2013",Single,No,https://music.froste.lol/song/2334a7adf89081f70178d5dde22d1638
Sen$ation,"Terror Shit 
(prod. MelroseZee)","Released by Playboi Carti on June 20th, 2013. Later taken down, but Carti then got terrorusa to reupload and host the song on his page alongside Sauce and For My Set on September 4th, 2015.",4:18,"Jun 20, 2013",Single,Exclusive,http://music.froste.lol/song/9501af89358ac1f2bef514e681e9b245/play
Sen$ation,"For My Set
(prod. Indolympus)","From 2013. Released and hosted by terrorusa in alongside Sauce and Terror Shit on September 4th, 2015.",2:03,"Nov 4, 2015",Throwaway,Exclusive,https://music.froste.lol/song/952716242bfcfde6b45daaa05e945259/play
Sen$ation,"⭐ 10kk A Couple Thousands For The Hoe$ 
(prod. $ir Cartier)","Released by Playboi Carti on Soundcloud. Reposted 4 times, with the last being on September 20, 2013.",3:43,"Sep 3, 2013",Single,No,http://music.froste.lol/song/b0c0a09b3dd0d25458d04b67880f365e/play
,"death in tune
(Awful Records, FACE, Red Tape)","(Jan 8, 2014) - Carti releases 'YUNGXANHOE' under the Artist Name 'Playboi Carti' on SoundCloud
(Early 2014) - Playboi Carti signs under the label 'AWFUL RECORDS'
(April 13, 2015) - Ian Connor announces 'Cash Carti - The Mixtape'.
(May 13, 2015) - Playboi Carti releases 'death in tune - EP'",,,,,
,FACE ,"(2014) Carti signs to Awful Records
(March, 28, 2014) Carti releases Holyfield and announces 'FACE'
(May 18, 2014) Playboi Carti releases talk and scraps the project",,,,,
death in tune,"⭐ YUNGXANHOE
(prod. 454)","Made in Nov-Dec 2013. Released as a single on Playboi Carti's Soundcloud. Originally was released under the name ""Ps2 GLITCHES X XAN HOE"" The same instrumental was also later used by XXXTENTACION on his track ""Bloodstains"".",2:56,"Jan 8, 2014",Single,Exclusive,https://soundcloud.com/playboicarti/yungxanhoe
death in tune,"✨ Heavy
(prod. Izzie B)",Released as a single on Playboi Carti's Soundcloud.,3:23,"Feb 8, 2014",Single,Exclusive,https://soundcloud.com/playboicarti/heavy-by-playboicarti
death in tune,"⭐ HOLYFIELD [2K15]
(prod. MexikoDro)","OG Filename: 01 Holyfield
Uses the same beat as ""RIDE AROUND YA TOWN"" by Marcy Mane. A single for Cartis scrapped project ""Face"". Hosted by countingcasket on SoundCloud.",3:52,"Mar 27, 2014",Single,Exclusive,"https://soundcloud.com/splurgangusa/holyfield
https://pillows.su/f/96233fbb30c4749816b05643bafd6c4f "
,death in tune,"(May 18, 2014) Carti releases talk and scraps the project
(May 13, 2015) Playboi Carti releases death in tune and changes his style and collaborators",,,,,
death in tune,"Bag (Interlude)
(prod. MexikoDro)","Uploaded to Soundcloud in 2014, but later taken down. Uses the same beat as ""Teach Me How To Yeet"" by Oh Boy Prince.",1:26,"Apr 8, 2014",Single,No,https://soundcloud.com/retroisfy/bag-interlude
death in tune,"talk
(prod. Ethereal)",Released as a single on Playboi Carti's Soundcloud.,2:40,"May 18, 2014",Single,No,https://soundcloud.com/playboicarti/talk
death in tune,"Lost
(prod. Ethereal)",Released as a single on Ethereal's Soundcloud.,4:36,"Jul 30, 2014",Single,No,https://soundcloud.com/ethereal/lost-prod-ethereal
death in tune,"⭐ #PRAY #4 #ME
(prod. Bomani)",Released as a single on Playboi Carti's Soundcloud.,2:14,"Sep 1, 2014",Single,No,https://soundcloud.com/playboicarti/pray-4-me-prod-bomani
death in tune,"Slug † Christ - I GOT ///ÐЄPRЄ$$ЄÐ+ĦØЄ$///
(feat. Playboi Carti) (prod. Slug Christ)",A single released by Slug Christ featuring Playboi Carti.,3:44,"Sep 8, 2014",Feature,No,https://www.youtube.com/watch?v=1cHlw70t9ck
death in tune,"⭐ Ethereal - iknowuknow
(feat. Playboi Carti)","Track 7 off Ethereal's album ""Cactus Jack"". One of the best Ethereal's collabs.",4:03,"Sep 11, 2014",Feature,Yes,https://open.spotify.com/track/20i0DBBGYWG0uo0JDc5EWf?si=0c9dae43c7364275
death in tune,"By Myself / No Help 
(prod. MexikoDro)",Released as a single on Playboi Carti's Soundcloud.,2:28,"Sep 26, 2014",Single,No,https://soundcloud.com/playboicarti/playboi-carti-by-myself
death in tune,"Pollari - FeFe
(feat. Playboi Carti) (prod. Metro Boomin)","Single released by Pollari featuring Playboi Carti. Later became Track 3 off Pollari's album ""Fiji Spring"".",2:40,"Oct 18, 2014",Feature,No,https://www.youtube.com/watch?v=NbOhqc5P4HU
death in tune,"⭐ smash
(prod. Ethereal)",Released as a single on Playboi Carti's Soundcloud.,2:37,"Dec 3, 2014",Single,No,https://soundcloud.com/playboicarti/smash-prod-ethereal?si=4c0a9d412ba44258bea5c016b0539ab0&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
death in tune,"smash pt2
(prod. MexikoDro & BeatPluggz)",Released as a single on Playboi Carti's Soundcloud.,1:34,"Dec 3, 2014",Single,No,https://soundcloud.com/playboicarti/smash-pt2-prod-plugs
death in tune,"Mercedez
(prod. Father)","Released as a single on the official ""Awful Records"" YouTube channel with a music video.",1:36,"Feb 2, 2015",Single,No,https://www.youtube.com/watch?v=s1jQY0s2foM
death in tune,"How Could I Worry
(feat. Playboi Carti) (prod. Ethereal)","Deleted song released by Ethereal on feb 6, 2015",4:36,"Feb 6, 2015",Single,No,https://pillows.su/f/266ff082294e73deb6f850fc52c92d50
death in tune,"chill freestyle
(prod. MexikoDro & BeatPluggz)",Released as a single on Playboi Carti's Soundcloud.,2:04,"Mar 18, 2015",Single,No,https://soundcloud.com/playboicarti/chill-prod-plugs?si=62c4f928be6e4c48852895295ed5c6b2&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
death in tune,"⭐ Broke Boi [V1]
(prod. MexikoDro)","Single released on April 1st, 2015.",3:37,"Apr 1, 2015",Single,Yes,https://open.spotify.com/track/4kjrB4xpcXRiAjLRivGhN2?si=fc07ff9ceb0c4618
death in tune,"Broke Boi [V2]
(prod. MexikoDro)","This version of the song was posted on May 8, 2015, on MexikoDro's old YouTube account, has a different intro.",3:16,"May 8, 2015",Single,No,https://www.youtube.com/watch?v=I8ezvq-Bf3Q
death in tune,"Broke Boi [V3]
(prod. MexikoDro)","This version of the song was used in a music video released on October 1, 2015, and has no intro. The original file of the song with the name “Broke Boi” surfaced online on September 15, 2021.",3:49,"Oct 1, 2015",Single,No,https://www.youtube.com/watch?v=TvJiWz0PJXY
death in tune,"⭐ Fetti
(feat. Da$H & Maxo Kream) (prod. Chris Fresh)","OG Filename: 01 Just Left Houston_TruthStudiosNB_M1
Released as a single on Playboi Carti's Soundcloud. Samples ""The World Is a Place by Rhythm"" (Funk Band). Later became a track on the PlayboiFre$h EP.",5:05,"Apr 27, 2015",Single,No,https://soundcloud.com/playboicarti/fetti-dash-maxo-kream-playboi-carti-prod-808mafia?si=2d27754d46d244239060239f564016e6&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
death in tune,"Luh Da Feelin
(with Slug Christ) (prod. Slugger)",Single released on Awful Record's Soundcloud.,4:08,"May 12, 2015",Single,No,https://soundcloud.com/awfulrecords/playboicarti-ft-slug-christ-luh-da-feelin-prod-slugger
death in tune,"⭐ money counter
(prod. MexikoDro)","One of two songs off Playboi Carti's EP ""death in tune"" released on Soundcloud.",1:39,"May 13, 2015",Single,No,https://soundcloud.com/playboicarti/death-in-tune-money-counter-prod-plugs?si=6ad1e3a1ca904aa7ac1d6343281965e7&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
death in tune,"count it up
(prod. MexikoDro)","One of two songs off Playboi Carti's EP ""death in tune"" released on Soundcloud.",3:29,"May 13, 2015",Single,No,https://soundcloud.com/playboicarti/death-in-tune-count-it-up-prod-plugs?si=6d306842cc3c40919a48ca216334ddbf&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
,"Cash Carti The Mixtape
(Chucky Era, Cash Carti Season [V1])","(April 13, 2015) (Ian Connor mentions the Cash Carti Mixtape coming soon)
(May 13, 2015) (Playboi Carti releases death in tune)
(Jan 2, 2016) (Playboi Carti fails to release Mixtape & aesthetic and sound shifts)",,,,,
Cash Carti The Mixtape,"Yung Bans - 4tspoon
(feat. Playboi Carti) (prod. Discopark)","OG Filename: 4Tspoon mixtape dj edit
Single released by Yung Bans featuring Playboi Carti.",2:53,"May 21, 2015",Feature,No,https://soundcloud.com/yungbans/4tspoon 
Cash Carti The Mixtape,"UnoTheActivist - Whole Thang
(feat. Playboi Carti) (prod. EVK95 & Chris Fresh)",Single released by UnoTheActivist featuring Playboi Carti.,2:43,"Jul 5, 2015",Feature,No,https://www.youtube.com/watch?v=WZstby3m2pI
Cash Carti The Mixtape,"Ethereal - Come Here!
(feat. Playboi Carti) ","Track 8 off Ethereal's album ""Final Fantasy"".",4:00,"Jul 7, 2015",Feature,Yes,https://open.spotify.com/track/0kns78j0MlJ6UkUuPjqjfL?si=7d56c3ee6e4d4b05
Cash Carti The Mixtape,"Robber
(prod. Ethereal)",Released by Ethereal on Soundcloud. Song got deleted.,2:43,"Jul 18, 2015",Feature,No,https://soundcloud.com/slatblat/playboi-carti-robber-ethereal
Cash Carti The Mixtape,"⭐ Cultie - LSD II (Wit' the Fanta)
(feat. Playboi Carti) (prod. SleepyInTheCut)",Single released by Cultie featuring Playboi Carti.,3:21,"Jul 22, 2015",Feature,No,https://audiomack.com/zavvage/song/lsd-2-wit-tha-fanta-ft-cultie
Cash Carti The Mixtape,"Gucci Mane - Peepin'
(feat. Playboi Carti & 21 Savage) (prod. C4)",Single released by Gucci Mane featuring Playboi Carti. Also the only time that Carti has ever been in a track with 21 Savage.,3:18,"Jul 23, 2015",Feature,No,https://soundcloud.com/guccimaneofficial/gucci-mane-peepin-feat-playboi-carti-21-savage-prod-by-c4?si=067711d4307a40e58e40c89d04183f44&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Cash Carti The Mixtape,"⭐ Talk (ICYTWAT Remix)
(prod. ICYTWAT)","Remix of Playboi Carti's song ""talk"". Later received a music video.",2:39,"Jul 23, 2015",Remix,No,https://www.youtube.com/watch?v=iTS6qvCSU8w
Cash Carti The Mixtape,"The Omen
(prod. Brandon Thomas)",Released as a single on Playboi Carti's Soundcloud.,3:08,"Aug 8, 2015",Single,No,https://soundcloud.com/haveyouheardthisshit/playboicarti-the-omen
Cash Carti The Mixtape,"milkshake remix
(with Bootychaaain) (prod. Eskay)","Released as a single on Playboi Carti's Soundcloud. Remix of Bootychaaain's song ""Milkshake"".",3:46,"Aug 8, 2015",Single,No,https://soundcloud.com/playboicarti/booth-chains-milkshake-remix?si=905b22730b5f4bfca98f056ed41fe42f&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Cash Carti The Mixtape,"Don't Tell Nobody 
(prod. MexikoDro & StoopidXool)",Released as a single on Playboi Carti's Soundcloud.,3:38,"Aug 8, 2015",Single,No,https://soundcloud.com/playboicarti/playboi-carti-dont-tell-nobody-hoodrich-keem?si=4d235d534b5e4240a51cc5fd3752ed27&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Cash Carti The Mixtape,"Milkaveli - Run It [V1]
(feat. Playboi Carti, Lee Scott) (prod. OMELET)","Version without Lancey Foux but instead with Lee Scott. Posted on youtube on Sep 26, 2021 but later privated. Song was ripped from the MV and posted on SoundCloud. Version with Lancey remains unheard.",3:20,"Sep 26, 2021",Feature,No,https://soundcloud.com/o_0zzz/milkavelli-run-it-ft-playboi-carti-lee-scott
Cash Carti The Mixtape,"⭐ Ohh
(feat. Juice Da Savage) (prod. MexikoDro)",Released as a single on MexikoDro's Soundcloud,3:19,"Aug 12, 2015",Single,No,https://soundcloud.com/mexikodro/playboi-carti-ohh-prod-mexikodro-mod
Cash Carti The Mixtape,"Father - Fake AF - Remix
(feat. Playboi Carti)","Track 5 off Father's EP ""Papicodone"".",2:24,"Aug 17, 2015",Feature,Yes,https://open.spotify.com/track/254o9eYBJXckF2zHNlAozN?si=0e095ee6e35844d3
Cash Carti The Mixtape,"⭐ Ethereal - Beef
(feat. Playboi Carti)",Single released by Ethereal featuring Playboi Carti.,3:33,"Sep 16, 2015",Feature,Yes,https://open.spotify.com/track/47Obor5zpUwTRLEQIX9woV?si=5129d0ae1ef3410b
Cash Carti The Mixtape,"⭐ Splur Gang
(feat. UnoTheActivist & ThouxanbandFauni) (prod. Ant Spittah)",Single released by Playboi Carti.,4:19,"Sep 18, 2015",Single,No,https://soundcloud.com/yungnudity/playboicarti-x-splur-gang-ft-unotheactivist-thouxanbanfauni
Cash Carti The Mixtape,"⭐ Sauce 
(prod. Bomani)","Single hosted by terrorusa. Was later uploaded to Spotify by Bomani on April 16, 2016.",2:55,"Sep 21, 2015",Single,Exclusive,https://soundcloud.com/carticlassics/playboi-carti-sauce
Cash Carti The Mixtape,"LAMB$ & TrapMoneyBenny - 2DOOR
(feat. Playboi Carti) (prod. TrapMoneyBenny)","Single released by LAMB$ featuring Playboi Carti. Later featured as track 17 on TrapMoneyBenny's album ""TrapMoneyBenny"".",3:37,"Oct 2, 2015",Feature,No,https://soundcloud.com/insomniaclambs/lamb-ft-playboi-carti-2door-prod-by-trapmoneybenny?si=88ec0686e59d4e038379e05338d04694&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Cash Carti The Mixtape,"Just A Dream
(feat. ManMan Savage) (feat. Brandon Thomas)",Single released by Brandon Thomas on Soundcloud.,3:48,"Oct 6, 2015",Feature,No,https://soundcloud.com/brandon2nice/just-a-dream-ft-manman-playboi-carti-prod-brandon-thomas
Cash Carti The Mixtape,"🗑️ Ian Connor
(prod. Danny Wolf & Brandon Thomas)
(Whatchu Need)",Single released by Brandon Thomas on Soundcloud.,1:52,"Oct 6, 2015",Feature,No,https://soundcloud.com/brandon2nice/whatchuneed-ft-playboicarti-prod-brandon-thomas-danny-wolf
Cash Carti The Mixtape,"Every Since
(with UnoTheActivist & ThouxanbandFauni) (prod. BeatPluggz)","Single released by Playboi Carti, later became track 18 on UnoTheActivist's album ""Whole Thang"" in 2018.",4:20,"Oct 9, 2015",Single,Yes,https://open.spotify.com/track/1s2xgFFCKjHMi7lOKUBAlk?si=29c563c4a49f4931
Cash Carti The Mixtape,"Neako - Purple Pool
(feat. Playboi Carti) (prod. Ritz)","Released on Neako's mixtape ""Overdose Dosage"". Original title may be ""So Unexpected"".",3:42,"Oct 12, 2015",Feature,No,https://soundcloud.com/tommyputyouon/tommyputyouon-playboi-carti-cookupcam
Cash Carti The Mixtape,"KEY! - Too Much Dope
(feat. Playboi Carti) (prod. Big Emm)",Single released by KEY! featuring Playboi Carti.,3:06,"Oct 18, 2015",Feature,No,https://soundcloud.com/fatmankey/too-much-dope-ft-playboi-carti
Cash Carti The Mixtape,"LUCKI - Saucin' (Remix)
(feat. Playboi Carti) (prod. Bomani)","Track 9 off LUCKI's mixtape ""Freewave"".",3:28,"Oct 19, 2015",Feature,Yes,https://open.spotify.com/track/1djb4ACCvrs7MPnKwA9w9I
Cash Carti The Mixtape,"What We Doin'
(prod. Brandon Thomas & Danny Wolf)",Released as a single on DJ Scream's Soundcloud.,2:46,"Oct 23, 2015",Single,No,https://soundcloud.com/djscreamtv/playboicarti-what-we-doin-prod-brandon-thomas-danny-wolf
Cash Carti The Mixtape,"⭐ Paper
(prod. 019dexter)",Released a single by Playboi Carti. Not much information.,3:15,"Oct 28, 2015",Single,No,https://soundcloud.com/playboicarti/paper
Cash Carti The Mixtape,"PLAYBOIFRE$H FREESTYLE
(prod. Chris Fresh)","Released as a single on Chris Fresh's Soundcloud. Later became track 2 on the ""PLAYBOIFRE$H EP"".",3:08,"Nov 6, 2015",Single,No,https://soundcloud.com/chrisfresh808/chris-fresh-x-playboi-carti
Cash Carti The Mixtape,"✨ Rich The Kid - Plug
(feat. Playboi Carti & Kodak Black) (prod. MexikoDro)","Single released by Rich The Kid featuring Playboi Carti. Later featured as track 11 on Rich The Kid's album ""Dabbin Fever"".",4:11,"Nov 17, 2015",Feature,No,https://soundcloud.com/rich-the-kid/plug-ft-kodak-black-cash-carti?si=1b938d8cef4f404fb742d36fec929100&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharingg
Cash Carti The Mixtape,"⭐ Sneak Dissin'
(prod. MexikoDro)",Released a single by Playboi Carti. Not much information.,1:06,"Dec 8, 2015",Single,No,https://youtu.be/tCSHmtA11LA
Cash Carti The Mixtape,"Ramriddlz - Dem Callin' 
(feat. Playboi Carti)",Single released by Ramriddlz featuring Playboi Carti.,4:13,"Dec 10, 2015",Feature,Yes,https://open.spotify.com/track/1Us0oiVnrFwp802ekhlEPB?si=2de75a9bd99e495a
Cash Carti The Mixtape,"Ethereal - Freestyle / 4 The People
(feat. Playboi Carti)",Single released by Ethereal featuring Playboi Carti.,5:05,"Dec 10, 2015",Feature,Yes,https://open.spotify.com/track/0wt7cFI4iLFjSkyMp8AjuP?si=a195ebcec9eb4812
Cash Carti The Mixtape,"UnoTheActivist - Whole Thang [Remix]
(feat. Playboi Carti & Maxo Kream) (prod. EVK95 & Chris Fresh)","Track 14 off UnoTheActivist's mixtape ""Gift Of Gab""",5:23,"Dec 25, 2015",Feature,No,https://soundcloud.com/djnickradio/whole-thang-ft-playboicarti?in=djnickradio/sets/unotheactivist-gift-of-gab-hosted-by-dj-nick
Cash Carti The Mixtape,"⭐ Run It
(feat. Lil Yachty) (prod. Digital Nas)",A single released by Digital Nas on his Soundcloud.,2:41,"Dec 25, 2015",Single,Exclusive,https://soundcloud.com/digitalnas/playboi-carti-run-it-ft-lil-yachty-produced-by-digital-nas
,"Ca$h Carti Season
(Ca$h Carti [V3])","Jan 2016 (Playboi Carti's aesthetic and sound shifts)
Sep 9, 2016 (Playboi Carti signs to Interscope + AWGE)",,,,,
Ca$h Carti Season,"Kewbrik - Snow
(feat. Playboi Carti & Dantes) (prod. Rally Icon)",Single released by Kewbrik featuring Playboi Carti. Carti originally recorded his verse in 2013.,3:52,"Jan 6, 2016",Feature,Yes,https://open.spotify.com/track/4k8b0ULXKIPV6GM3M8SYmG?si=68e35c0b1293411e
Ca$h Carti Season,"⭐ 3 Chains
(with Rich The Kid) (prod. Stacy Money)",Released as a single on Digital Trapstars' Soundcloud.,4:09,"Jan 26, 2016",Single,No,https://soundcloud.com/straightslappers/playboi-carti-x-rich-the-kid-3-chains
Ca$h Carti Season,"Lil Uzi Vert - Left Right 
(feat. Playboi Carti) (prod. Don Cannon, Dj Spinz & Maaly Raw)",Single released with Lil Uzi Vert.,3:29,"Jan 28, 2016",Feature,No,https://soundcloud.com/liluzivert/left-right-official?in=kvng-5/sets/uzi
Ca$h Carti Season,"⭐ WHAT
(feat. UnoTheActivist) (prod. Chris Fresh)",Single released on Chris Fresh's Soundcloud. Later became a track on the PlayboiFre$h ep.,3:27,"Feb 11, 2016",Single,Exclusive,https://soundcloud.com/chrisfresh808/playboi-carti-feat?in=chrisfresh808/sets/playboifreshep
Ca$h Carti Season,"Joey Fatts - Dallas
(feat. Playboi Carti)","Track 3 off Joey Fatts' album ""I'll Call You Tomorrow"".",3:02,"Mar 3, 2016",Feature,Yes,https://open.spotify.com/track/0hGi5kBA3DB4uuq9Aw1BjM?si=9bf8613a3d1541f4
Ca$h Carti Season,"KEY! - Ghost
(feat. Playboi Carti) (prod. Gnealz & Big Emm)","Single released by KEY! featuring Playboi Carti. Later featured as track 6 on KEY!'s album ""Martin Luther Key"".",3:32,"Mar 15, 2016",Feature,No,https://soundcloud.com/gnealz/key-playboicarti-ghost-prodgnealz-bigemm?si=4acd91cf13294b4586d0304de9b73ba8&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Ca$h Carti Season,"Chris Fresh - WHAT REMIX
(feat. Playboi Carti, MadeinTYO, Lil Yachty & UnoTheActivist)",Released as a single by Chris Fresh on Soundcloud.,5:11,"Apr 6, 2016",Feature,No,https://soundcloud.com/chrisfresh808/chris-fresh-what-remix-feat
Ca$h Carti Season,"Teddy - 4 in da Cup
(feat. Playboi Carti) (prod. Jaasu)",Single released by Teddy featuring Playboi Carti.,2:59,"May 24, 2016",Feature,No,https://www.youtube.com/watch?v=1DR4PcU0WaM
Ca$h Carti Season,"Reese LAFLARE - Party Song
(feat. Playboi Carti) (prod. Ducko McFli)","Track 14 off Reese LAFLARE's album ""BEFORETHEUNIVERSE"".",2:58,"Jun 7, 2016",Feature,No,https://soundcloud.com/starveb4youeatofficial/reese-laflare-party-song-feat-playboi-carti?si=62a2463a63154d22912e99cd91ef06ef&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Ca$h Carti Season,"Joey Fatts - Action
(feat. Playboi Carti & A$AP Nast)",Single released by Joey Fatts featuring Playboi Carti.,3:31,"Jun 9, 2016",Feature,Yes,https://open.spotify.com/track/63K7Y4pM9M5RmI95gwjwNy?si=c20135697efe4f88
Ca$h Carti Season,"ReddSmash - Scope
(feat. Playboi Carti & ManMan Savage) (prod. Brandon Thomas)",Single released by ReddSmash featuring Playboi Carti.,4:33,"Jun 11, 2016",Feature,No,https://soundcloud.com/reddsmash/scope-ft-manman-savage-playboi-cartiprod-brandon-thomas
Ca$h Carti Season,"Ca$h Out - Hard To Breathe
(feat. Playboi Carti) (prod. DJ Spinz)",Single released by Ca$h Out featuring Playboi Carti.,3:46,"Jun 24, 2016",Feature,No,https://youtu.be/qBFAf7TiuQQ
Ca$h Carti Season,"STEP
(with Yung Gleesh) (prod. Gnealz)",Single released on GOLD's Soundcloud.,3:20,"Jun 29, 2016",Single,Exclusive,https://soundcloud.com/bashbarti/playboi-carti-step-ft-yung-gleesh
Ca$h Carti Season,"Maxo Kream - Spike Lee
(feat. Playboi Carti & Rich The Kid)","Track 12 off Maxo Kream's album ""The Persona Tape"".",3:49,"Jun 29, 2016",Feature,Yes,https://open.spotify.com/track/2zDpZQwPJAVkKHynKi4BeG?si=4b82ea30892a4f40
Ca$h Carti Season,"Rich The Kid - No Pressure
(feat. Playboi Carti) (prod. Chinatown)","Track 11 off Rich The Kid's EP ""Rich Forever 2"".",3:11,"Jul 4, 2016",Feature,No,https://www.youtube.com/watch?v=rdSApmaZStQ
Ca$h Carti Season,"Jace - Dumb Hoe
(feat. Playboi Carti)",Released as a single by Jace featuring Playboi Carti.,2:40,"Jul 8, 2016",Feature,No,https://www.youtube.com/watch?v=EhR6S0ehAXk&ab_channel=Hip-HopMusic
Ca$h Carti Season,"DJ Twin - Booted Up
(feat. Playboi Carti & Sean Kingston) (prod. Stoopid Kool)","Track 2 off DJ Twin's compilation album ""Day 1 EP"".",3:09,"Jul 12, 2016",Feature,Yes,https://open.spotify.com/track/6FGEzVE6HVizMQ4C0shr7s?si=a30417a9437449df
Ca$h Carti Season,"⭐ Pump Fake! (Freestyle)
(prod. Ethereal)",Released as a single by Ethereal on Soundcloud.,4:40,"Jul 21, 2016",Single,Yes,https://open.spotify.com/track/4h7Hxf4UpXP4AdDSq7ziSS?si=226dd6b2fdb345b7
Ca$h Carti Season,"Justin Rose - Speedy Gonzales
(feat. Playboi Carti)","Track 10 off Justin Rose's album ""Water White"".",3:32,"Aug 3, 2016",Feature,Yes,https://open.spotify.com/track/2fURSDIakPCDIeezrdCjfU?si=b62219e464894bf7
Ca$h Carti Season,"⭐ Lil Uzi Vert - Of Course We Ghetto Flowers
(feat. Playboi Carti & Offset) (prod. Maaly Raw)","Track 2 off Lil Uzi Vert's album ""The Perfect LUV Tape"".",4:21,"Aug 10, 2016",Feature,Yes,https://open.spotify.com/track/0gqfvyewE2Sh8TwKBFajCF?si=6f1ba856908b431c
